week_start,user_id,run_count,total_distance_km,avg_pace_min_per_km,total_elevation_m,total_running_time_s,avg_cadence,avg_hr,longest_run_km,training_load,target_next_week_pace,target_next_week_km
2007-04-16,614320,2,22.99,4.14,57.5,5711,88.0,138.8,11.94,69.325,4.45,61.74
2007-04-23,614320,4,61.74,4.45,241.7,16475,88.0,138.0,19.81,199.885,4.83,11.8
2007-04-30,614320,1,11.8,4.83,69.2,3416,88.0,146.4,11.8,43.869,4.03,41.15
2007-05-07,614320,4,41.15,4.03,244.0,9956,88.0,142.5,11.11,123.084,4.01,51.91
2007-05-14,614320,5,51.91,4.01,191.3,12483,88.0,141.0,13.93,154.955,4.0,54.58
2007-05-21,614320,6,54.58,4.0,146.5,13111,88.0,146.8,20.94,170.1,4.56,15.92
2007-05-28,614320,1,15.92,4.56,21.2,4361,88.0,141.8,15.92,54.245,5.16,11.87
2007-06-11,614320,1,11.87,5.16,69.6,3672,88.0,136.8,11.87,44.08,4.81,54.45
2007-06-18,614320,4,54.45,4.81,129.4,15706,88.0,144.0,15.88,155.613,4.7,87.15
2007-06-25,614320,6,87.15,4.7,363.4,24552,88.0,139.9,25.88,299.68,4.45,99.6
2007-07-02,614320,11,99.6,4.45,365.1,26619,88.0,141.1,26.82,317.518,4.14,31.51
2007-07-09,614320,12,31.51,4.14,83.0,7821,88.0,138.3,10.84,94.446,4.12,92.05
2007-07-16,614320,5,92.05,4.12,362.6,22751,88.0,138.4,28.94,274.127,4.36,81.32
2007-07-23,614320,12,81.32,4.36,664.9,21256,88.0,143.6,28.94,259.038,4.01,43.6
2007-07-30,614320,5,43.6,4.01,206.0,10498,88.0,140.3,19.11,123.363,4.17,85.61
2007-08-06,614320,5,85.61,4.17,943.9,21433,88.0,137.6,29.03,258.623,4.3,118.64
2007-08-13,614320,11,118.64,4.3,399.0,30608,88.0,140.6,32.88,368.692,4.28,57.58
2007-08-20,614320,7,57.58,4.28,275.0,14795,88.0,137.9,20.78,165.139,4.3,97.67
2007-08-27,614320,11,97.67,4.3,360.5,25204,88.0,136.6,26.96,286.03,3.77,52.38
2007-09-03,614320,3,52.38,3.77,177.3,11854,88.0,144.4,20.99,152.612,3.89,68.63
2007-09-10,614320,5,68.63,3.89,305.2,16023,88.0,131.5,26.54,184.663,3.53,22.82
2007-09-17,614320,2,22.82,3.53,50.7,4827,88.0,144.8,11.94,60.989,3.26,22.81
2007-09-24,614320,2,22.81,3.26,106.3,4469,88.0,144.3,11.8,56.695,4.49,51.78
2007-10-01,614320,3,51.78,4.49,295.8,13935,88.0,146.3,42.11,184.142,2.45,2.4
2007-10-08,614320,1,2.4,2.45,10.5,353,88.0,140.2,2.4,4.341,4.12,14.56
2007-10-15,614320,2,14.56,4.12,20.0,3601,88.0,145.6,11.86,47.628,4.94,11.94
2007-10-22,614320,2,11.94,4.94,70.0,3538,88.0,70.8,11.94,43.915,3.94,11.15
2007-10-29,614320,1,11.15,3.94,40.6,2636,88.0,150.1,11.15,34.707,4.53,14.85
2007-12-03,614320,3,14.85,4.53,87.1,4036,88.0,151.0,4.97,53.492,4.67,19.85
2007-12-10,614320,2,19.85,4.67,116.4,5564,88.0,154.1,11.9,75.502,4.8,21.84
2007-12-17,614320,3,21.84,4.8,128.1,6286,88.0,147.4,11.84,81.376,5.31,18.95
2007-12-24,614320,2,18.95,5.31,14.7,6033,88.0,147.0,13.95,77.649,5.2,70.74
2007-12-31,614320,5,70.74,5.2,66.7,22051,88.0,148.7,15.95,288.176,4.94,110.55
2008-01-07,614320,8,110.55,4.94,117.7,32765,88.0,142.8,24.87,368.033,4.5,116.16
2008-01-14,614320,13,116.16,4.5,226.2,31370,88.0,146.1,28.91,396.716,4.48,64.8
2008-01-21,614320,11,64.8,4.48,70.8,17429,88.0,139.8,17.05,209.661,4.46,71.59
2008-01-28,614320,5,71.59,4.46,59.8,19170,88.0,139.7,21.86,232.632,4.4,66.68
2008-02-04,614320,6,66.68,4.4,99.6,17616,88.0,132.9,23.88,206.212,3.93,93.19
2008-02-11,614320,11,93.19,3.93,1005.4,21971,88.0,144.9,28.51,262.461,4.72,10.94
2008-02-25,614320,1,10.94,4.72,10.1,3101,88.0,145.1,10.94,39.47,4.34,31.56
2008-03-03,614320,3,31.56,4.34,13.2,8223,88.0,144.5,11.9,104.614,4.22,90.74
2008-03-10,614320,6,90.74,4.22,171.1,22964,88.0,141.0,21.82,284.16,4.76,120.48
2008-03-17,614320,7,120.48,4.76,129.8,34393,88.0,135.0,34.92,400.556,3.93,61.84
2008-03-24,614320,4,61.84,3.93,104.5,14569,88.0,141.2,21.02,181.078,4.26,51.78
2008-03-31,614320,4,51.78,4.26,78.0,13240,88.0,140.3,21.03,163.606,4.16,77.86
2008-04-07,614320,4,77.86,4.16,268.6,19452,88.0,141.1,42.04,241.526,4.04,38.21
2008-04-14,614320,6,38.21,4.04,63.7,9268,88.0,139.6,13.88,116.48,4.79,106.56
2008-04-21,614320,6,106.56,4.79,119.2,30612,88.0,139.0,31.87,374.377,4.54,67.41
2008-04-28,614320,6,67.41,4.54,183.4,18351,88.0,146.2,20.96,104.772,4.51,129.22
2008-05-05,614320,6,129.22,4.51,166.3,34984,88.0,135.2,32.98,410.384,4.35,49.7
2008-05-12,614320,4,49.7,4.35,24.3,12986,88.0,139.0,13.93,157.595,4.67,138.58
2008-05-19,614320,6,138.58,4.67,179.4,38817,88.0,135.2,33.99,459.655,4.1,62.74
2008-05-26,614320,6,62.74,4.1,199.8,15421,88.0,135.6,14.81,186.053,4.67,136.17
2008-06-02,614320,6,136.17,4.67,231.8,38155,88.0,139.9,26.65,471.321,4.19,23.74
2008-06-09,614320,2,23.74,4.19,139.2,5966,88.0,142.6,11.87,74.627,4.3,45.62
2008-06-16,614320,3,45.62,4.3,44.7,11761,88.0,144.3,19.9,148.761,4.11,53.2
2008-06-23,614320,4,53.2,4.11,126.6,13130,88.0,145.1,21.86,163.188,3.71,13.07
2008-06-30,614320,2,13.07,3.71,23.5,2911,88.0,139.5,9.32,34.902,3.45,33.2
2008-07-14,614320,3,33.2,3.45,70.3,6881,88.0,154.0,12.38,92.628,3.48,37.86
2008-07-21,614320,3,37.86,3.48,187.5,7906,88.0,148.1,17.17,102.749,3.48,32.22
2008-07-28,614320,3,32.22,3.48,121.3,6718,88.0,146.3,11.23,86.087,4.17,12.3
2008-08-04,614320,1,12.3,4.17,72.1,3076,88.0,145.1,12.3,39.152,4.17,14.11
2008-08-11,614320,1,14.11,4.17,22.6,3527,88.0,151.7,14.11,46.934,3.28,16.6
2008-08-18,614320,2,16.6,3.28,45.1,3268,88.0,151.6,11.01,43.001,3.56,48.45
2008-09-01,614320,5,48.45,3.56,141.8,10354,88.0,146.5,14.11,132.315,3.7,78.79
2008-09-08,614320,6,78.79,3.7,223.0,17513,88.0,140.2,18.81,215.338,2.59,6.86
2008-09-15,614320,1,6.86,2.59,11.5,1064,88.0,145.5,6.86,13.58,4.24,12.28
2008-09-29,614320,1,12.28,4.24,72.0,3122,88.0,154.8,12.28,42.393,4.07,5.18
2008-10-20,614320,1,5.18,4.07,30.4,1266,88.0,156.6,5.18,17.391,4.13,47.52
2008-10-27,614320,5,47.52,4.13,77.5,11776,88.0,152.4,14.13,154.685,3.5,58.86
2008-11-03,614320,5,58.86,3.5,148.5,12345,88.0,146.1,16.93,157.627,3.78,71.97
2008-11-10,614320,6,71.97,3.78,133.6,16316,88.0,140.4,17.23,199.722,3.8,75.57
2008-11-17,614320,6,75.57,3.8,259.5,17228,88.0,133.8,15.69,201.48,3.56,10.98
2008-11-24,614320,1,10.98,3.56,29.5,2346,88.0,140.5,10.98,28.913,3.69,43.77
2008-12-01,614320,4,43.77,3.69,137.6,9683,88.0,142.9,14.08,121.437,3.64,46.31
2008-12-08,614320,5,46.31,3.64,181.6,10102,88.0,133.8,12.26,121.185,2.73,11.81
2008-12-15,614320,1,11.81,2.73,46.9,1935,88.0,142.9,11.81,24.255,4.35,8.48
2008-12-29,614320,1,8.48,4.35,49.7,2214,88.0,153.9,8.48,29.889,4.53,82.87
2009-01-05,614320,6,82.87,4.53,63.0,22542,88.0,146.8,16.95,238.101,4.33,69.35
2009-01-12,614320,5,69.35,4.33,34.4,18018,88.0,142.7,18.11,225.752,3.8,24.14
2009-01-19,614320,2,24.14,3.8,27.1,5508,88.0,141.4,12.36,68.532,4.53,95.92
2009-01-26,614320,6,95.92,4.53,150.4,26055,88.0,140.6,21.74,319.602,4.14,38.76
2009-02-02,614320,3,38.76,4.14,61.3,9626,88.0,138.2,15.59,116.841,3.52,50.96
2009-02-09,614320,4,50.96,3.52,135.0,10749,88.0,145.1,16.79,136.203,4.31,57.46
2009-02-16,614320,4,57.46,4.31,127.0,14864,88.0,137.9,21.7,178.485,3.68,30.62
2009-02-23,614320,3,30.62,3.68,67.9,6765,88.0,150.9,11.99,91.408,3.33,97.07
2009-03-02,614320,7,97.07,3.33,354.5,19385,88.0,137.8,21.0,232.864,3.66,11.46
2009-03-09,614320,1,11.46,3.66,40.6,2517,88.0,136.4,11.46,30.116,3.36,34.72
2009-03-16,614320,3,34.72,3.36,71.4,7002,88.0,141.2,12.5,86.725,3.99,52.24
2009-03-23,614320,4,52.24,3.99,82.9,12501,88.0,143.2,17.29,155.505,3.76,26.65
2009-03-30,614320,2,26.65,3.76,85.8,6010,88.0,140.2,15.59,73.957,3.89,25.07
2009-04-06,614320,2,25.07,3.89,67.0,5854,88.0,145.1,14.12,73.481,4.04,66.0
2009-04-13,614320,5,66.0,4.04,103.3,15990,88.0,137.4,16.96,192.416,3.61,52.89
2009-04-20,614320,4,52.89,3.61,156.9,11443,88.0,142.8,14.69,142.968,3.86,101.17
2009-04-27,614320,6,101.17,3.86,252.6,23408,88.0,138.6,28.64,280.854,3.41,56.85
2009-05-04,614320,12,56.85,3.41,138.1,11621,88.0,140.6,14.96,138.176,4.06,95.48
2009-05-11,614320,6,95.48,4.06,264.1,23265,88.0,133.0,34.26,267.347,3.95,60.63
2009-05-18,614320,5,60.63,3.95,134.6,14388,88.0,135.0,14.62,169.849,3.66,49.38
2009-05-25,614320,3,49.38,3.66,181.6,10857,88.0,133.0,26.27,128.216,3.62,46.35
2009-06-08,614320,4,46.35,3.62,97.8,10072,88.0,145.1,14.08,127.41,4.32,51.1
2009-06-22,614320,5,51.1,4.32,22.5,13256,88.0,140.1,12.35,163.004,4.24,51.17
2009-06-29,614320,4,51.17,4.24,22.6,13006,88.0,138.4,14.13,158.034,3.83,45.54
2009-07-06,614320,3,45.54,3.83,176.4,10461,88.0,140.0,22.58,128.035,4.37,87.75
2009-07-20,614320,5,87.75,4.37,207.9,23013,88.0,142.0,34.08,283.493,3.63,21.98
2009-07-27,614320,2,21.98,3.63,99.7,4783,88.0,139.0,11.25,58.323,3.0,20.79
2009-08-03,614320,2,20.79,3.0,76.7,3740,88.0,146.5,10.87,47.728,2.71,9.04
2009-08-10,614320,1,9.04,2.71,54.2,1470,88.0,142.2,9.04,18.336,3.71,24.11
2009-08-24,614320,2,24.11,3.71,42.7,5361,88.0,148.5,12.34,69.965,3.49,26.83
2009-08-31,614320,3,26.83,3.49,71.2,5619,88.0,141.5,11.29,70.234,4.46,58.94
2009-09-14,614320,5,58.94,4.46,14.5,15762,88.0,144.9,12.32,199.771,3.8,44.31
2009-09-21,614320,4,44.31,3.8,138.3,10100,88.0,140.9,14.18,123.848,3.8,35.47
2009-10-05,614320,3,35.47,3.8,88.0,8091,88.0,150.4,12.24,106.881,3.48,54.7
2009-10-12,614320,5,54.7,3.48,165.9,11414,88.0,141.5,16.38,139.845,3.91,72.25
2009-10-19,614320,6,72.25,3.91,78.8,16960,88.0,140.6,18.12,208.194,3.52,69.38
2009-10-26,614320,5,69.38,3.52,432.7,14634,88.0,135.9,23.26,172.858,3.38,56.6
2009-11-02,614320,5,56.6,3.38,245.5,11477,88.0,136.2,12.97,137.711,4.7,50.74
2009-11-09,614320,5,50.74,4.7,113.8,14299,88.0,136.8,12.11,171.649,4.65,47.23
2009-11-16,614320,4,47.23,4.65,51.7,13168,88.0,136.8,14.19,158.072,4.67,37.47
2009-11-23,614320,4,37.47,4.67,76.1,10507,88.0,136.8,11.64,126.129,4.84,23.85
2009-11-30,614320,2,23.85,4.84,58.6,6933,88.0,136.8,12.2,83.225,4.79,11.98
2009-12-07,614320,1,11.98,4.79,26.5,3443,88.0,136.8,11.98,41.331,4.47,20.29
2009-12-14,614320,2,20.29,4.47,54.2,5442,88.0,136.8,10.14,65.327,4.12,5.22
2010-01-11,614320,1,5.22,4.12,30.6,1289,88.0,148.3,5.22,16.768,4.22,68.62
2010-01-18,614320,6,68.62,4.22,24.8,17362,88.0,153.0,14.12,232.119,3.87,57.47
2010-01-25,614320,5,57.47,3.87,192.8,13346,88.0,143.2,14.08,168.004,4.26,33.32
2010-02-01,614320,3,33.32,4.26,41.7,8512,88.0,142.9,12.88,107.766,3.85,75.36
2010-02-08,614320,6,75.36,3.85,136.0,17396,88.0,136.1,18.32,207.224,3.69,77.16
2010-02-15,614320,7,77.16,3.69,200.3,17087,88.0,137.4,12.4,203.939,3.93,44.94
2010-02-22,614320,4,44.94,3.93,66.8,10596,88.0,132.5,12.3,121.574,4.5,53.09
2010-03-01,614320,4,53.09,4.5,36.8,14326,88.0,138.3,16.31,174.214,4.28,55.26
2010-03-08,614320,4,55.26,4.28,44.0,14186,88.0,147.0,16.48,184.765,4.18,24.37
2010-03-15,614320,2,24.37,4.18,142.9,6116,88.0,144.8,12.23,77.456,4.1,12.32
2010-03-22,614320,1,12.32,4.1,72.2,3029,88.0,146.2,12.32,38.846,4.26,57.41
2010-03-29,614320,4,57.41,4.26,21.0,14661,88.0,141.4,20.57,183.04,4.1,14.19
2010-04-05,614320,1,14.19,4.1,22.4,3486,88.0,145.6,14.19,44.523,4.09,12.27
2010-04-12,614320,1,12.27,4.09,71.9,3007,88.0,152.9,12.27,40.331,3.7,34.36
2010-04-19,614320,3,34.36,3.7,72.8,7635,88.0,147.8,12.21,98.58,3.9,77.66
2010-04-26,614320,12,77.66,3.9,131.4,18180,88.0,146.7,21.2,222.395,4.54,75.34
2010-05-03,614320,5,75.34,4.54,452.4,20521,88.0,137.4,24.49,245.874,4.65,69.42
2010-05-10,614320,4,69.42,4.65,209.8,19349,88.0,136.8,28.51,231.089,4.65,80.19
2010-05-17,614320,5,80.19,4.65,326.1,22389,88.0,134.6,24.07,264.115,4.56,63.59
2010-05-24,614320,4,63.59,4.56,322.6,17392,88.0,137.1,21.39,211.116,4.78,60.9
2010-05-31,614320,4,60.9,4.78,439.6,17470,88.0,130.0,21.99,199.12,4.64,39.07
2010-06-14,614320,3,39.07,4.64,130.8,10874,88.0,145.7,14.15,138.801,4.72,80.07
2010-06-21,614320,5,80.07,4.72,151.9,22687,88.0,140.8,19.21,279.171,4.75,53.48
2010-06-28,614320,4,53.48,4.75,11.7,15254,88.0,138.3,16.49,184.771,4.73,95.91
2010-07-05,614320,5,95.91,4.73,360.4,27231,88.0,132.1,27.44,316.159,4.78,114.17
2010-07-12,614320,7,114.17,4.78,103.4,32747,88.0,135.0,32.41,380.81,4.71,76.48
2010-07-19,614320,4,76.48,4.71,240.7,21599,88.0,132.0,31.96,251.43,4.79,92.4
2010-07-26,614320,5,92.4,4.79,691.8,26579,88.0,133.1,32.51,308.29,4.56,58.72
2010-08-02,614320,4,58.72,4.56,182.6,16051,88.0,135.5,21.11,189.53,4.76,104.65
2010-08-09,614320,6,104.65,4.76,606.4,29875,88.0,130.7,30.92,342.47,4.51,34.09
2010-08-16,614320,1,34.09,4.51,123.0,9226,88.0,148.7,34.09,120.343,4.64,69.56
2010-08-23,614320,4,69.56,4.64,315.1,19370,88.0,133.0,31.73,225.052,4.46,43.06
2010-08-30,614320,3,43.06,4.46,118.6,11515,88.0,143.1,16.25,144.195,4.59,39.84
2010-09-06,614320,3,39.84,4.59,315.4,10970,88.0,133.7,14.69,128.768,4.36,11.12
2010-09-13,614320,1,11.12,4.36,65.2,2908,88.0,143.2,11.12,36.529,4.71,113.62
2010-09-20,614320,5,113.62,4.71,675.4,32080,88.0,139.4,34.7,391.021,4.53,70.99
2010-09-27,614320,5,70.99,4.53,310.5,19309,88.0,140.5,21.11,238.198,4.59,67.23
2010-10-04,614320,3,67.23,4.59,555.4,18503,88.0,128.8,42.38,80.522,4.64,63.64
2010-10-11,614320,5,63.64,4.64,23.7,17706,88.0,137.9,14.27,214.039,4.61,66.28
2010-10-18,614320,4,66.28,4.61,73.7,18338,88.0,138.1,21.04,223.274,4.35,12.73
2010-10-25,614320,1,12.73,4.35,95.6,3323,88.0,144.7,12.73,42.179,4.59,25.05
2010-11-01,614320,2,25.05,4.59,186.8,6893,88.0,140.6,12.55,85.042,4.81,65.16
2010-11-08,614320,5,65.16,4.81,492.7,18787,88.0,139.0,16.52,228.905,4.77,73.78
2010-11-15,614320,5,73.78,4.77,145.8,21126,88.0,134.6,18.3,250.539,4.73,37.28
2010-11-22,614320,3,37.28,4.73,81.3,10581,88.0,136.1,12.54,126.194,4.72,77.54
2010-11-29,614320,6,77.54,4.72,430.5,21965,88.0,138.8,14.22,267.077,4.82,101.4
2010-12-06,614320,7,101.4,4.82,534.2,29352,88.0,130.5,18.24,336.534,4.84,108.75
2010-12-13,614320,7,108.75,4.84,399.2,31606,88.0,128.4,24.89,355.951,4.82,102.48
2010-12-20,614320,6,102.48,4.82,561.6,29625,88.0,126.1,23.3,328.397,4.72,86.12
2010-12-27,614320,5,86.12,4.72,568.1,24414,88.0,130.9,24.5,279.43,4.82,114.02
2011-01-03,614320,7,114.02,4.82,119.9,32987,88.0,137.9,21.37,395.961,4.83,43.94
2011-01-10,614320,3,43.94,4.83,52.2,12727,88.0,136.8,16.41,152.524,4.6,99.9
2011-01-17,614320,6,99.9,4.6,122.6,27565,88.0,139.9,26.32,338.328,4.85,86.82
2011-01-24,614320,6,86.82,4.85,104.3,25276,88.0,134.6,18.28,298.74,4.73,107.05
2011-01-31,614320,6,107.05,4.73,520.4,30370,88.0,130.7,26.22,346.592,4.77,66.74
2011-02-07,614320,5,66.74,4.77,462.0,19113,88.0,134.9,15.37,225.448,4.37,72.65
2011-02-14,614320,5,72.65,4.37,250.1,19065,88.0,146.4,18.28,243.415,4.65,96.66
2011-02-21,614320,6,96.66,4.65,437.6,26949,88.0,144.1,24.75,343.743,4.76,100.22
2011-02-28,614320,6,100.22,4.76,442.8,28595,88.0,143.9,25.12,362.653,4.88,71.44
2011-03-07,614320,5,71.44,4.88,551.1,20907,88.0,186.2,18.28,268.125,4.78,69.92
2011-03-14,614320,4,69.92,4.78,312.4,20063,88.0,136.8,21.02,240.841,4.53,25.22
2011-03-21,614320,2,25.22,4.53,95.8,6858,88.0,136.8,12.63,82.325,4.38,58.66
2011-03-28,614320,4,58.66,4.38,489.7,15434,88.0,136.8,20.9,124.841,4.71,83.27
2011-04-04,614320,5,83.27,4.71,316.7,23536,88.0,133.6,25.08,277.4,4.66,102.3
2011-04-11,614320,6,102.3,4.66,443.4,28575,88.0,177.4,31.81,448.369,4.65,27.21
2011-04-18,614320,2,27.21,4.65,81.6,7597,88.0,131.0,14.64,87.232,4.78,35.26
2011-04-25,614320,3,35.26,4.78,235.7,10110,88.0,151.6,15.25,132.687,4.59,105.66
2011-05-02,614320,7,105.66,4.59,418.6,29067,88.0,159.2,21.0,252.809,4.6,64.13
2011-05-09,614320,4,64.13,4.6,222.2,17711,88.0,136.8,26.59,212.607,4.65,88.36
2011-05-16,614320,5,88.36,4.65,330.5,24626,88.0,177.9,30.36,134.221,4.55,103.11
2011-05-23,614320,6,103.11,4.55,439.2,28137,88.0,136.8,30.43,337.763,4.66,103.25
2011-05-30,614320,6,103.25,4.66,494.5,28855,88.0,136.8,30.42,346.382,4.84,18.4
2011-06-06,614320,1,18.4,4.84,139.3,5344,88.0,136.8,18.4,64.151,4.53,41.19
